,time (hr),concentration (ug/ml),viability (%),Hydrodynamic diameter (nm),Zeta potential (mV)
186,24.0,0.4,87.223,46.0,-32.95
187,24.0,0.8,47.849,46.0,71.23
188,24.0,0.2,91.134,60.0,-32.7
189,24.0,0.4,87.353,60.0,-42.3
190,24.0,0.8,56.845,60.0,19.520000000000003
191,24.0,5.0,99.234,5.0,-8.72
192,24.0,10.0,104.44,5.0,-8.72
193,24.0,50.0,136.91,5.0,-8.72
194,24.0,100.0,162.02,5.0,-8.72
195,24.0,1.0,87.472,60.0,-51.9
196,24.0,10.0,61.197,60.0,-51.9
197,24.0,20.0,51.774,60.0,-51.9
198,24.0,50.0,44.9,60.0,-51.9
199,3.0,125.0,95.027,75.0,71.7
200,3.0,250.0,106.05,75.0,71.7
201,3.0,500.0,74.757,75.0,71.7
202,3.0,1000.0,49.297,75.0,71.7
203,3.0,125.0,91.304,75.0,71.7
204,3.0,250.0,90.261,75.0,71.7
205,3.0,500.0,78.957,75.0,71.7
206,3.0,1000.0,65.565,75.0,71.7
207,24.0,0.5,88.907,18.4,26.400000000000002
208,24.0,1.0,89.723,18.4,26.400000000000002
209,24.0,5.0,93.312,18.4,-18.0
210,24.0,10.0,91.517,18.4,-17.92
211,24.0,50.0,80.914,18.4,8.29
212,24.0,100.0,74.388,18.4,-7.6
213,24.0,0.5,88.699,326.5,-23.5
214,24.0,1.0,87.158,326.5,-23.5
215,24.0,5.0,86.473,326.5,-23.5
216,24.0,10.0,90.925,326.5,-23.5
217,24.0,50.0,88.014,326.5,-23.5
218,24.0,100.0,85.616,326.5,-23.5
219,24.0,0.5,87.873,274.1,-27.7
220,24.0,1.0,86.455,274.1,-27.7
221,24.0,5.0,83.445,274.1,-27.7
222,24.0,10.0,91.639,274.1,-27.7
223,24.0,50.0,85.786,274.1,-27.7
224,24.0,100.0,84.114,274.1,-27.7
225,48.0,0.5,105.22,18.4,-39.55
226,48.0,1.0,96.9,18.4,-17.1
227,48.0,5.0,94.29,18.4,-17.1
228,48.0,10.0,89.886,18.4,-15.91
229,48.0,50.0,86.949,18.4,-8.72
230,48.0,100.0,82.545,18.4,-8.72
231,48.0,0.5,98.288,326.5,-23.5
232,48.0,1.0,99.144,326.5,-23.5
233,48.0,5.0,93.151,326.5,-23.5
234,48.0,10.0,92.979,326.5,-23.5
235,48.0,50.0,88.87,326.5,-23.5
236,48.0,100.0,86.473,326.5,-23.5
237,48.0,0.5,93.144,274.1,-27.7
238,48.0,1.0,87.793,274.1,-27.7
239,48.0,5.0,88.629,274.1,-27.7
240,48.0,10.0,90.301,274.1,-27.7
241,48.0,50.0,85.786,274.1,-27.7
242,48.0,100.0,83.445,274.1,-27.7
243,24.0,0.5,96.743,326.5,-23.5
244,24.0,1.0,83.225,326.5,-23.5
245,24.0,5.0,82.573,326.5,-23.5
246,24.0,10.0,80.945,326.5,-23.5
247,24.0,50.0,80.945,326.5,-23.5
248,24.0,100.0,79.316,326.5,-23.5
249,24.0,0.5,96.743,274.1,-27.7
250,24.0,1.0,82.573,274.1,-27.7
251,24.0,5.0,76.873,274.1,-27.7
252,24.0,10.0,76.873,274.1,-27.7
253,24.0,50.0,91.205,274.1,-27.7
254,24.0,100.0,91.205,274.1,-27.7
255,72.0,0.036,80.385,145.45,15.049999999999999
256,72.0,0.072,72.957,5.5,-23.415
257,72.0,0.18,56.616,67.35,28.1
258,72.0,0.36,49.684,6.0,-36.5
259,72.0,0.72,42.256,6.0,-36.5
260,72.0,1.0,42.586,6.0,-36.5
261,72.0,0.036,108.98,12.5,-7.455
262,72.0,0.072,106.23,549.0,5.635000000000001
263,72.0,0.18,102.5,1073.5,-9.599999999999998
264,72.0,0.36,90.126,208.35000000000002,37.849999999999994
265,72.0,0.72,63.619,717.5,28.4
266,72.0,1.0,47.518,6.0,-36.5
267,72.0,0.036,101.35,717.5,28.4
268,72.0,0.072,91.689,165.25,5.5
269,72.0,0.18,67.636,400.5,-4.550000000000001
270,72.0,0.36,41.527,6.0,-36.5
271,72.0,0.72,27.959,5.0,-10.33
272,72.0,1.0,28.37,5.0,-10.33
273,72.0,25.0,88.973,15.0,-25.0
274,72.0,50.0,76.933,15.0,-25.0
275,72.0,100.0,59.949,15.0,-25.0
276,72.0,200.0,48.923,15.0,-25.0
277,72.0,25.0,87.072,15.0,-25.0
278,72.0,50.0,74.018,15.0,-25.0
279,72.0,100.0,58.048,15.0,-25.0
280,72.0,200.0,44.994,15.0,-25.0
281,72.0,1.0,96.842,14.23,-25.0
282,72.0,5.0,95.0,14.23,-25.0
283,72.0,10.0,91.184,14.23,-25.0
284,72.0,25.0,79.342,14.23,-25.0
285,72.0,50.0,71.316,14.23,-25.0
286,72.0,100.0,63.816,14.23,-25.0
287,72.0,200.0,55.263,14.23,-25.0
288,72.0,1.0,96.708,14.23,-25.0
289,72.0,5.0,95.61,14.23,-25.0
290,72.0,10.0,92.455,14.23,-25.0
291,72.0,25.0,78.326,14.23,-25.0
292,72.0,50.0,71.605,14.23,-25.0
293,72.0,100.0,65.021,14.23,-25.0
294,72.0,200.0,58.848,14.23,-25.0
295,24.0,50.0,91.683,289.76,-28.0
296,24.0,100.0,117.41,289.76,-28.0
297,24.0,200.0,113.35,289.76,-28.0
298,24.0,500.0,128.05,289.76,-28.0
299,24.0,50.0,94.523,578.27,8.0
300,24.0,100.0,69.258,578.27,8.0
301,24.0,200.0,42.933,578.27,8.0
302,24.0,500.0,40.636,578.27,8.0
303,24.0,50.0,88.508,345.2,-13.0
304,24.0,100.0,36.878,345.2,-13.0
305,24.0,200.0,34.305,345.2,-13.0
306,24.0,500.0,28.473,345.2,-13.0
307,48.0,50.0,97.485,289.76,-28.0
308,48.0,100.0,110.44,289.76,-28.0
309,48.0,200.0,108.12,289.76,-28.0
310,48.0,500.0,107.74,289.76,-28.0
311,48.0,50.0,96.82,578.27,8.0
312,48.0,100.0,93.64,578.27,8.0
313,48.0,200.0,82.862,578.27,8.0
314,48.0,500.0,76.678,578.27,8.0
315,48.0,50.0,98.113,345.2,-13.0
316,48.0,100.0,81.475,345.2,-13.0
317,48.0,200.0,82.676,345.2,-13.0
318,48.0,500.0,79.417,345.2,-13.0
319,24.0,50.0,88.516,289.76,-28.0
320,24.0,100.0,83.569,289.76,-28.0
321,24.0,200.0,81.625,289.76,-28.0
322,24.0,500.0,93.11,289.76,-28.0
323,24.0,50.0,99.824,578.27,8.0
324,24.0,100.0,63.269,578.27,8.0
325,24.0,200.0,52.9,578.27,8.0
326,24.0,500.0,78.383,578.27,8.0
327,24.0,50.0,103.09,345.2,-13.0
328,24.0,100.0,86.942,345.2,-13.0
329,24.0,200.0,90.722,345.2,-13.0
330,24.0,500.0,77.32,345.2,-13.0
331,48.0,50.0,92.403,289.76,-28.0
332,48.0,100.0,98.057,289.76,-28.0
333,48.0,200.0,101.59,289.76,-28.0
334,48.0,500.0,100.35,289.76,-28.0
335,48.0,50.0,99.473,578.27,8.0
336,48.0,100.0,89.455,578.27,8.0
337,48.0,200.0,85.764,578.27,8.0
338,48.0,500.0,92.794,578.27,8.0
339,48.0,50.0,97.938,345.2,-13.0
340,48.0,100.0,95.876,345.2,-13.0
341,48.0,200.0,95.361,345.2,-13.0
342,48.0,500.0,90.893,345.2,-13.0
343,24.0,10.0,76.923,21.06,-24.5
344,24.0,50.0,67.494,21.06,-24.5
345,24.0,100.0,61.29,21.06,-24.5
346,24.0,200.0,62.283,21.06,-24.5
347,24.0,500.0,63.275,21.06,-24.5
348,24.0,10.0,100.99,59.72,-38.1
349,24.0,50.0,72.705,59.72,-38.1
350,24.0,100.0,70.471,59.72,-38.1
351,24.0,200.0,64.02,59.72,-38.1
352,24.0,500.0,62.283,59.72,-38.1
353,24.0,10.0,89.826,100.33,-31.7
354,24.0,50.0,70.471,100.33,-31.7
355,24.0,100.0,71.464,100.33,-31.7
356,24.0,200.0,65.757,100.33,-31.7
357,24.0,500.0,72.705,100.33,-31.7
358,24.0,10.0,75.186,199.89,-36.3
359,24.0,50.0,63.027,199.89,-36.3
360,24.0,100.0,62.283,199.89,-36.3
361,24.0,200.0,62.779,199.89,-36.3
362,24.0,500.0,61.042,199.89,-36.3
363,72.0,10.0,58.542,21.06,-24.5
364,72.0,50.0,50.797,21.06,-24.5
365,72.0,100.0,49.886,21.06,-24.5
366,72.0,200.0,50.569,21.06,-24.5
367,72.0,500.0,44.647,21.06,-24.5
368,72.0,10.0,96.583,59.72,-38.1
369,72.0,50.0,53.303,59.72,-38.1
370,72.0,100.0,49.886,59.72,-38.1
371,72.0,200.0,31.435,59.72,-38.1
372,72.0,500.0,15.718,59.72,-38.1
373,72.0,10.0,68.337,100.33,-31.7
374,72.0,50.0,54.214,100.33,-31.7
375,72.0,100.0,51.708,100.33,-31.7
376,72.0,200.0,55.353,100.33,-31.7
377,72.0,500.0,53.531,100.33,-31.7
378,72.0,10.0,66.287,199.89,-36.3
379,72.0,50.0,50.569,199.89,-36.3
380,72.0,100.0,50.114,199.89,-36.3
381,72.0,200.0,50.797,199.89,-36.3
382,72.0,500.0,45.33,199.89,-36.3
383,24.0,10.0,65.366,21.06,-24.5
384,24.0,50.0,50.0,21.06,-24.5
385,24.0,100.0,44.39,21.06,-24.5
386,24.0,200.0,38.049,21.06,-24.5
387,24.0,500.0,34.146,21.06,-24.5
388,24.0,10.0,108.05,59.72,-38.1
389,24.0,50.0,54.146,59.72,-38.1
390,24.0,100.0,49.512,59.72,-38.1
391,24.0,200.0,42.683,59.72,-38.1
392,24.0,500.0,5.122,59.72,-38.1
393,24.0,10.0,53.902,100.33,-31.7
394,24.0,50.0,44.878,100.33,-31.7
395,24.0,100.0,34.878,100.33,-31.7
396,24.0,200.0,30.244,100.33,-31.7
397,24.0,500.0,29.024,100.33,-31.7
398,24.0,10.0,50.0,199.89,-36.3
399,24.0,50.0,40.732,199.89,-36.3
400,24.0,100.0,32.683,199.89,-36.3
401,24.0,200.0,24.878,199.89,-36.3
402,24.0,500.0,24.878,199.89,-36.3
403,72.0,10.0,45.578,21.06,-24.5
404,72.0,50.0,38.095,21.06,-24.5
405,72.0,100.0,34.921,21.06,-24.5
406,72.0,200.0,27.891,21.06,-24.5
407,72.0,500.0,17.007,21.06,-24.5
408,72.0,10.0,87.528,59.72,-38.1
409,72.0,50.0,32.2,59.72,-38.1
410,72.0,100.0,30.839,59.72,-38.1
411,72.0,200.0,23.356,59.72,-38.1
412,72.0,500.0,1.1338,59.72,-38.1
413,72.0,10.0,42.63,100.33,-31.7
414,72.0,50.0,34.467,100.33,-31.7
415,72.0,100.0,31.973,100.33,-31.7
416,72.0,200.0,27.891,100.33,-31.7
417,72.0,500.0,17.234,100.33,-31.7
418,72.0,10.0,42.177,199.89,-36.3
419,72.0,50.0,29.252,199.89,-36.3
420,72.0,100.0,24.943,199.89,-36.3
421,72.0,200.0,22.676,199.89,-36.3
422,72.0,500.0,12.245,199.89,-36.3
423,24.0,10.0,68.856,21.06,-24.5
424,24.0,50.0,61.071,21.06,-24.5
425,24.0,100.0,59.611,21.06,-24.5
426,24.0,200.0,59.124,21.06,-24.5
427,24.0,500.0,58.151,21.06,-24.5
428,24.0,10.0,99.757,59.72,-38.1
429,24.0,50.0,67.397,59.72,-38.1
430,24.0,100.0,66.423,59.72,-38.1
431,24.0,200.0,62.774,59.72,-38.1
432,24.0,500.0,53.041,59.72,-38.1
433,24.0,10.0,68.613,100.33,-31.7
434,24.0,50.0,66.423,100.33,-31.7
435,24.0,100.0,65.207,100.33,-31.7
436,24.0,200.0,63.99,100.33,-31.7
437,24.0,500.0,64.477,100.33,-31.7
438,24.0,10.0,68.856,199.89,-36.3
439,24.0,50.0,63.504,199.89,-36.3
440,24.0,100.0,62.287,199.89,-36.3
441,24.0,200.0,60.584,199.89,-36.3
442,24.0,500.0,58.151,199.89,-36.3
443,72.0,10.0,57.011,21.06,-24.5
444,72.0,50.0,55.172,21.06,-24.5
445,72.0,100.0,55.172,21.06,-24.5
446,72.0,200.0,49.425,21.06,-24.5
447,72.0,500.0,46.437,21.06,-24.5
448,72.0,10.0,95.172,59.72,-38.1
449,72.0,50.0,65.747,59.72,-38.1
450,72.0,100.0,60.92,59.72,-38.1
451,72.0,200.0,54.713,59.72,-38.1
452,72.0,500.0,42.299,59.72,-38.1
453,72.0,10.0,66.437,100.33,-31.7
454,72.0,50.0,58.161,100.33,-31.7
455,72.0,100.0,56.322,100.33,-31.7
456,72.0,200.0,56.322,100.33,-31.7
457,72.0,500.0,55.862,100.33,-31.7
458,72.0,10.0,64.138,199.89,-36.3
459,72.0,50.0,55.172,199.89,-36.3
460,72.0,100.0,54.023,199.89,-36.3
461,72.0,200.0,51.264,199.89,-36.3
462,72.0,500.0,51.034,199.89,-36.3
463,6.0,20.0,99.06,24.6,-11.0
464,6.0,60.0,96.9,24.6,-11.0
465,6.0,180.0,98.5,24.6,-11.0
466,6.0,360.0,88.5,24.6,-11.0
467,24.0,20.0,95.0,24.6,-11.0
468,24.0,60.0,91.0,24.6,-11.0
469,24.0,180.0,83.9,24.6,-11.0
470,24.0,360.0,70.5,24.6,-11.0
471,48.0,20.0,90.0,24.6,-11.0
472,48.0,60.0,86.0,24.6,-11.0
473,48.0,180.0,68.25,24.6,-11.0
474,48.0,360.0,54.15,24.6,-11.0
475,6.0,20.0,97.666,24.6,-11.0
476,6.0,60.0,98.423,24.6,-11.0
477,6.0,180.0,93.205,24.6,-11.0
478,6.0,360.0,90.852,24.6,-11.0
479,24.0,20.0,91.798,24.6,-11.0
480,24.0,60.0,89.148,24.6,-11.0
481,24.0,180.0,86.877,24.6,-11.0
482,24.0,360.0,78.17,24.6,-11.0
483,48.0,20.0,93.691,24.6,-11.0
484,48.0,60.0,80.631,24.6,-11.0
485,48.0,180.0,73.628,24.6,-11.0
486,48.0,360.0,58.297,24.6,-11.0
487,24.0,2.5,95.0,20.12,-17.1
488,24.0,5.0,78.548,20.12,24.3
489,24.0,10.0,60.645,20.12,71.7
490,24.0,20.0,37.903,20.12,25.67
491,24.0,40.0,35.968,20.12,71.7
492,24.0,50.0,30.968,20.12,-20.36
493,48.0,2.5,90.0,20.12,-17.1
494,48.0,5.0,70.0,20.12,-43.29
495,48.0,10.0,49.194,20.12,60.010000000000005
496,48.0,20.0,36.29,20.12,-23.79
497,48.0,40.0,26.935,20.12,-43.29
498,48.0,50.0,24.032,20.12,28.255000000000003
499,72.0,2.5,83.871,20.12,-4.58
500,72.0,5.0,67.581,20.12,-24.5
501,72.0,10.0,48.226,20.12,-24.5
502,72.0,20.0,25.806,20.12,-33.33
503,72.0,40.0,21.452,20.12,-33.33
504,72.0,50.0,15.484,20.12,-33.33
505,24.0,25.0,100.0,1.5,-8.0
506,24.0,50.0,80.027,1.5,6.01
507,24.0,75.0,59.783,1.5,5.66
